label;mean_1;std_1;min_1;max_1;med_1;kur_1;ske_1;perc25_1;perc75_1;mean_2;std_2;min_2;max_2;med_2;kur_2;ske_2;perc25_2;perc75_2;mean_3;std_3;min_3;max_3;med_3;kur_3;ske_3;perc25_3;perc75_3;mean_4;std_4;min_4;max_4;med_4;kur_4;ske_4;perc25_4;perc75_4;mean_5;std_5;min_5;max_5;med_5;kur_5;ske_5;perc25_5;perc75_5;mean_6;std_6;min_6;max_6;med_6;kur_6;ske_6;perc25_6;perc75_6;mean_7;std_7;min_7;max_7;med_7;kur_7;ske_7;perc25_7;perc75_7;mean_8;std_8;min_8;max_8;med_8;kur_8;ske_8;perc25_8;perc75_8;mean_9;std_9;min_9;max_9;med_9;kur_9;ske_9;perc25_9;perc75_9;mean_10;std_10;min_10;max_10;med_10;kur_10;ske_10;perc25_10;perc75_10;mean_11;std_11;min_11;max_11;med_11;kur_11;ske_11;perc25_11;perc75_11;mean_12;std_12;min_12;max_12;med_12;kur_12;ske_12;perc25_12;perc75_12;mean_13;std_13;min_13;max_13;med_13;kur_13;ske_13;perc25_13;perc75_13
0.0;-0.78182;0.12931;-0.55611;-0.16650;2.29862;15.02563;8.39375;0.95272;0.12527;-0.29229;-2.93127;1.36599;-3.13301;0.08287;0.11892;0.09201;0.07517;1.21194;4.58536;2.18170;0.26168;0.15349;0.15282;41.79214;37.69026;60.29579;-0.93475;-0.23889;-0.77380;-0.48737;0.11226;0.00480;0.69503;0.11621;-0.83398;-0.69189;-102.00000;-164.68750;-344.93750;-0.42950;0.47174;-0.20892;-0.05969;7.53577;17.99154;13.10507;2.37451;1.32568;0.45703;466.18750;100.12500;132.43750;-0.80731;0.12851;-0.56284;-0.15637;2.15632;16.78043;8.68443;0.90601;0.12573;-0.30054;-3.75000;2.06250;-2.56250;5.87406;2.54505;3.02757;3.33697;4.62088;3.53981;4.33276;10.38447;13.42695;1.27138;54.97970;3.87802;10.57723;2.14908;-0.30701;0.87010;-1.47384;1.82967;-2.23063;-2.10761;2.27302;1.64574;0.64982;5.44766;-0.79002;-2.25718;-0.82495;0.08394;-0.59991;-0.19763;1.63176;15.58377;8.26360;0.85620;0.04016;-0.40051;-17.14062;-12.98438;-13.79688;-0.76360;0.17699;-0.51271;-0.11128;2.64625;17.38361;9.59611;0.97278;0.17712;-0.20471;7.67188;12.07812;15.60938
0.0;-0.78825;0.09692;-0.53453;-0.16114;2.71421;13.10368;8.60946;0.92940;0.18688;-0.31085;-0.34327;2.76276;-7.18407;0.08808;0.16139;0.11446;0.10374;1.42889;6.22010;2.45584;0.30500;0.27280;0.17570;83.56191;44.34340;71.40362;-0.93402;-0.46790;-0.78888;-0.42468;0.22484;0.00093;0.61246;0.29443;-0.79150;-0.84375;-323.56250;-196.37500;-361.68750;-0.45416;0.49542;-0.16339;0.19586;7.45359;17.98980;17.62442;2.94092;2.12646;0.18506;604.62500;184.43750;178.93750;-0.80914;0.10358;-0.55188;-0.15979;2.34072;16.10534;8.93057;0.88721;0.13574;-0.32520;-3.18750;-1.87500;-5.37500;2.89496;2.25617;0.51779;1.67339;1.03701;-0.03754;2.69986;9.99946;15.19566;0.07293;20.37943;5.57488;6.35001;1.52838;-0.83840;0.62793;0.90339;1.05236;-1.31193;-1.10595;2.35179;2.67663;0.28998;2.95105;0.71937;-1.32043;-0.83102;0.01947;-0.60110;-0.24255;1.82927;14.42597;7.73203;0.76221;0.02441;-0.42358;-22.65625;-11.96875;-26.40625;-0.75775;0.19293;-0.46744;-0.10336;3.41160;17.12692;9.80469;1.00244;0.30298;-0.21069;13.15625;11.03125;16.62500
0.0;-0.70188;0.02932;-0.49433;-0.07834;2.59184;13.76158;8.77273;0.92646;0.10380;-0.32650;1.29087;0.13472;0.17783;0.16914;0.39081;0.13628;0.23700;1.14165;6.24408;3.78920;0.25086;0.19250;0.20253;49.30702;39.49738;54.98487;-0.91724;-0.88086;-0.82782;-0.57318;0.13785;0.00105;0.24116;0.25488;-0.43359;-1.13232;-182.25000;-220.37500;-367.12500;-0.17578;0.76556;-0.19110;0.36938;6.80262;17.99690;17.80724;2.70801;1.12842;0.62695;361.12500;106.00000;221.43750;-0.76010;0.04129;-0.50443;-0.06564;2.47776;16.87690;9.09757;0.90112;0.08350;-0.35010;-4.34375;1.81250;-2.09375;0.36593;-0.23917;-0.12424;-0.61742;1.60754;0.31033;-0.28892;11.88685;1.88951;5.25865;9.03729;3.54967;10.71804;1.15286;-0.04901;0.07065;-0.14477;0.95443;-1.44359;-0.08647;2.18565;0.57299;1.54761;1.60311;-0.70793;-1.17390;-0.83318;-0.18602;-0.57437;-0.23096;1.92484;15.28181;6.19909;0.79675;-0.01025;-0.44775;-25.51562;-18.90625;-21.82812;-0.60573;0.19296;-0.41420;0.08018;3.09503;17.57250;11.15573;1.03577;0.20862;-0.24756;23.76562;21.90625;23.09375
0.0;0.39096;-0.55899;-0.51420;-0.45915;15.68179;11.60420;12.05378;-0.98820;0.20794;-0.01280;-0.93070;0.31193;1.37500;0.11878;0.10514;0.12365;0.13818;1.75815;3.12998;6.29171;0.38258;0.25997;0.17835;42.75526;29.94724;117.67866;0.02228;-0.77716;-0.65802;-0.81097;10.86723;3.28483;0.04203;-2.95215;-0.77295;-1.09229;-332.56250;-84.68750;-294.87500;0.57782;-0.34125;-0.08081;-0.13031;17.78622;17.13413;17.99522;-0.26611;1.73682;0.48145;272.81250;115.75000;434.56250;0.42731;-0.50897;-0.56433;-0.48022;16.54374;11.77480;16.06501;-0.95996;0.15137;0.03223;0.56250;1.06250;1.12500;2.16875;-0.68390;3.74595;0.79787;0.72389;0.37865;-0.85380;8.00310;5.03011;7.26760;18.00539;3.07721;2.45299;-1.66159;-0.47341;2.07881;-0.21207;-1.33793;-1.11297;-0.89545;-2.24170;0.80865;-1.86219;-1.27159;0.59968;0.15331;0.40952;-0.65488;-0.57935;-0.49133;15.26162;11.50964;8.34716;-1.03247;0.12134;-0.10181;-8.31250;-10.00000;-7.21875;0.43961;-0.50067;-0.49216;-0.37378;16.87607;13.82174;16.43344;-0.82031;0.28931;0.11206;13.62500;11.84375;33.37500
0.0;-0.82949;0.07167;-0.45542;-0.20940;3.71816;14.80949;8.92050;0.77258;0.26811;-0.43520;-1.00034;-0.17713;0.19033;0.08286;0.14275;0.14051;0.09305;2.02079;4.90219;1.69315;0.31857;0.28269;0.17534;27.16605;32.25451;54.44795;-0.92517;-0.20117;-0.73981;-0.42053;0.02003;0.00124;1.41149;-0.18018;-0.75781;-1.21289;-132.18750;-177.37500;-346.93750;-0.37610;0.56702;-0.21436;-0.02307;7.02476;17.99381;15.18692;2.38281;1.20361;0.04004;272.93750;115.06250;199.12500;-0.82526;0.08633;-0.51794;-0.17609;2.62512;16.24452;9.18850;0.86963;0.18750;-0.42822;-0.90625;-0.18750;1.43750;10.24158;0.81903;-1.27342;-1.16629;-1.48640;4.08446;7.79876;3.76782;-0.21715;0.16313;13.85033;4.34305;12.74972;2.57984;0.58597;0.24426;-0.37713;0.35290;-2.38666;-2.06112;0.64662;0.53080;-0.23892;1.10917;-0.57054;-1.40128;-0.89284;-0.06393;-0.55957;-0.30574;2.04702;15.67214;8.17900;0.46960;0.04297;-0.57520;-12.71875;-12.51562;-11.51562;-0.79300;0.17055;-0.29921;-0.14246;6.15505;17.21050;9.96787;0.94287;0.52344;-0.29919;11.04688;10.98438;12.93750
0.0;0.34010;-0.62843;-0.50734;-0.40586;15.55588;13.82846;4.25095;-0.87048;0.32391;-0.10122;1.77412;2.97788;-1.18100;0.15943;0.09725;0.12281;0.13193;1.73406;1.98702;6.71933;0.21848;0.22522;0.17656;45.10807;36.82211;57.87251;-0.19116;-0.87018;-0.73907;-0.67511;9.60728;3.91313;0.01930;-2.00830;-0.82422;-1.04004;-159.75000;-268.18750;-209.43750;0.57703;-0.41571;-0.09717;0.01978;17.93452;16.45133;17.99653;0.05273;1.83594;0.42725;185.43750;203.06250;155.93750;0.37115;-0.61255;-0.52881;-0.40588;16.33315;14.08431;0.57513;-0.92480;0.26318;-0.05737;1.96875;2.87500;5.96875;1.53572;-0.55682;1.06436;1.01254;1.68583;15.81478;-0.22329;3.17705;5.87491;5.27674;3.15734;25.77751;3.10250;-1.27327;-0.19166;0.96754;0.73966;-1.47018;-3.90524;1.28473;0.34215;0.93714;-1.53784;0.05890;-2.33739;-0.85522;0.26031;-0.69882;-0.57759;-0.49661;14.70601;13.77074;0.28302;-0.97461;0.20703;-0.19055;-14.73438;-5.50000;-14.06250;0.46539;-0.55505;-0.46613;-0.35327;16.62664;14.57066;3.02079;-0.76440;0.42859;-0.00415;19.20312;12.06250;20.93750
0.0;0.32776;-0.65255;-0.51400;-0.34842;14.60043;13.38536;7.39619;-0.82555;0.39495;-0.18964;2.01581;5.77206;-0.45218;0.17232;0.13609;0.11069;0.14408;2.28148;3.57757;7.88039;0.42430;0.29652;0.22203;52.34889;53.86449;77.24221;0.01593;-0.88336;-0.78137;-0.88824;9.55484;0.01002;0.00046;-3.71631;-0.98193;-1.46191;-385.37500;-167.25000;-225.93750;0.61249;-0.34100;-0.07593;-0.04242;17.90663;17.99146;17.99733;-0.00635;1.89404;0.49707;293.75000;448.43750;443.68750;0.40912;-0.61060;-0.53510;-0.38440;15.93695;14.11571;2.98170;-0.90381;0.28223;-0.11426;-0.43750;1.18750;-0.43750;-1.48712;-1.11252;2.83528;1.65115;-1.35669;6.29568;-1.65429;12.93711;1.60304;3.60632;14.50195;25.74033;6.52591;-0.27227;-0.21229;0.90118;-0.66387;-0.48464;-2.58865;0.47460;-2.51463;0.18506;-1.11453;-0.30820;3.41047;0.69823;0.13080;-0.82950;-0.56592;-0.43344;12.14100;13.66423;0.62300;-0.94995;0.22632;-0.39722;-7.25000;-8.34375;-15.78125;0.47141;-0.54880;-0.48141;-0.23105;16.53006;14.99006;17.74614;-0.49048;0.69580;-0.04346;6.37500;12.21875;15.68750
0.0;-0.78291;0.11481;-0.55802;-0.14746;2.33065;12.61343;8.27955;0.94200;0.11853;-0.30248;-2.27529;3.01146;-2.24807;0.08799;0.12854;0.09444;0.08741;1.20713;6.69398;2.42279;0.25160;0.16543;0.16944;38.83110;43.03177;56.15879;-0.88721;-0.22925;-0.77539;-0.38831;0.43503;0.00311;0.14628;0.04199;-0.39746;-0.74658;-101.68750;-148.31250;-363.43750;-0.45227;0.49670;-0.28418;0.05084;6.41100;17.99857;17.84366;2.33984;0.86133;0.55127;204.87500;169.75000;138.12500;-0.80566;0.08978;-0.56610;-0.15137;2.06208;16.26614;8.85374;0.88916;0.09766;-0.30322;-6.37500;-1.43750;0.62500;3.59634;1.61857;0.23830;-0.02031;0.63150;-0.74915;3.77164;8.87100;0.65768;0.99236;6.96646;4.34542;14.82393;1.75463;0.53577;0.29876;-0.08650;0.89969;-1.04547;-1.09815;2.05919;0.52777;0.52489;1.79322;0.67989;-2.76977;-0.84229;0.04593;-0.61951;-0.19693;1.33445;5.06680;7.66366;0.82324;0.00928;-0.45752;-20.46875;-13.18750;-16.93750;-0.74768;0.17691;-0.50098;-0.08197;3.02099;17.06676;9.44307;0.99512;0.23364;-0.18970;8.12500;13.93750;20.71875
0.0;-0.41307;0.48782;0.61918;0.35548;15.30492;11.37203;12.44667;-0.92664;0.25204;0.10092;1.70237;-0.15214;-0.85306;0.13588;0.11309;0.12825;0.18407;2.41084;2.56935;6.66842;0.36511;0.24104;0.20178;35.75091;36.76353;117.59727;-0.59851;0.24182;0.15924;-0.22723;6.37057;1.07911;0.00874;-2.59717;-0.97314;-0.32080;-172.31250;-106.87500;-355.87500;0.10706;0.75378;0.80389;0.79187;17.97725;17.36887;17.99107;0.27100;1.17432;0.73242;116.00000;146.87500;438.06250;-0.45160;0.45978;0.63538;0.38885;16.26381;11.98279;16.37354;-0.94775;0.20068;0.10889;-2.68750;-0.81250;6.56250;3.99147;0.31804;3.39681;1.47168;2.98289;2.72584;-0.81372;6.47936;2.81336;1.00838;2.98845;2.95832;2.73048;2.02270;0.50117;-1.49938;-0.67841;-1.78115;-1.67109;-0.96894;-0.57615;0.20292;0.84095;0.06067;0.86357;-0.10736;-0.49231;0.44373;0.58203;0.29144;14.68373;10.78721;8.60997;-0.97705;0.13037;-0.00195;-15.00000;-14.31250;-33.18750;-0.40051;0.52948;0.66577;0.44360;16.96762;13.14794;17.25636;-0.84619;0.35840;0.13477;15.50000;6.56250;47.43750
0.0;0.38460;-0.63480;-0.51070;-0.34478;14.85581;13.74712;3.25396;-0.88739;0.33741;-0.19955;-0.22471;6.28841;0.10472;0.11701;0.10940;0.13208;0.16244;2.01491;3.40969;4.83791;0.43076;0.30371;0.25986;58.21039;63.55143;86.66130;0.10455;-0.84833;-0.77972;-0.84637;9.65311;0.02851;0.00844;-3.42334;-0.76904;-1.43262;-267.87500;-146.93750;-206.87500;0.54352;-0.38428;-0.13397;0.03351;17.83300;17.96711;17.97389;0.02539;1.48584;0.31836;307.43750;387.75000;397.93750;0.42380;-0.62253;-0.50940;-0.36426;15.74705;14.24450;1.23447;-0.90381;0.26904;-0.14185;3.00000;2.25000;-1.75000;-0.61018;-0.78476;0.39362;1.10219;-0.36298;5.43243;3.42760;8.63355;1.16188;2.78856;6.47242;8.45016;3.81815;-0.71653;-0.15549;0.31818;-0.26825;-0.85912;-2.23973;2.15999;-2.07720;0.36462;-1.10638;0.29903;1.75097;0.99041;0.32341;-0.71535;-0.58029;-0.41708;13.67838;13.50245;0.54775;-0.99524;0.18079;-0.37500;-14.57812;-16.51562;-40.64062;0.47893;-0.55276;-0.44308;-0.25468;16.26109;15.55341;3.13706;-0.61450;0.53906;-0.03955;25.34375;20.90625;38.50000
